,Ability,Character_Class,Character_Level,Grenade,KDA,Lightlevel,Melee,Super,assists,avg_score_per_life,deaths,efficiency,kills,matchID,playersID,score
14499,0.0,Titan,20,0.0,1.08333333333,302,2.0,0.0,3.0,0.42857142857142855,6.0,1.33333333333,5.0,697879424,2305843009267188150,3.0
14500,0.0,Titan,20,1.0,0.692307692308,304,1.0,1.0,4.0,0.07142857142857142,13.0,0.846153846154,7.0,697879424,2305843009261475542,1.0
14501,0.0,Titan,20,2.0,0.884615384615,305,1.0,2.0,3.0,0.07142857142857142,13.0,1.0,10.0,697879424,2305843009261705264,1.0
14502,0.0,Warlock,20,0.0,0.5625,301,0.0,0.0,4.0,0.058823529411764705,16.0,0.6875,7.0,697879424,2305843009262075184,1.0
14503,0.0,Titan,20,3.0,1.17857142857,301,2.0,2.0,3.0,0.06666666666666667,14.0,1.28571428571,15.0,697879424,2305843009283695435,1.0
14504,0.0,Warlock,20,0.0,1.1875,305,0.0,2.0,4.0,0.23529411764705882,16.0,1.3125,17.0,697691713,2305843009260725753,4.0
14505,0.0,Titan,20,2.0,1.42857142857,302,0.0,3.0,8.0,0.26666666666666666,14.0,1.71428571429,16.0,697691713,2305843009267188150,4.0
14506,0.0,Hunter,20,2.0,1.05555555556,301,0.0,1.0,6.0,0.21052631578947367,18.0,1.22222222222,16.0,697691713,2305843009267703970,4.0
14507,0.0,Titan,20,0.0,1.66666666667,294,4.0,1.0,10.0,0.25,15.0,2.0,20.0,697691713,2305843009291365963,4.0
14508,0.0,Hunter,20,0.0,1.42105263158,298,0.0,3.0,10.0,0.15,19.0,1.68421052632,22.0,697691713,2305843009262733977,3.0
14509,0.0,Hunter,20,1.0,0.8125,299,0.0,1.0,6.0,0.17647058823529413,16.0,1.0,10.0,697691713,2305843009263732650,3.0
14510,0.0,Hunter,20,0.0,0.852941176471,278,0.0,1.0,3.0,0.16666666666666666,17.0,0.941176470588,13.0,697691713,2305843009291107656,3.0
14511,0.0,Titan,20,2.0,1.32352941176,298,1.0,4.0,9.0,0.16666666666666666,17.0,1.58823529412,18.0,697691713,2305843009291468705,3.0
14512,0.0,Hunter,20,0.0,1.3,305,0.0,0.0,2.0,0.36363636363636365,10.0,1.4,12.0,697327417,2305843009261207510,4.0
14513,0.0,Warlock,20,0.0,1.85,303,1.0,1.0,7.0,0.36363636363636365,10.0,2.2,15.0,697327417,2305843009263632328,4.0
14514,0.0,Warlock,20,0.0,2.0,302,0.0,1.0,8.0,0.36363636363636365,10.0,2.4,16.0,697327417,2305843009265050569,4.0
14515,0.0,Hunter,20,1.0,1.6,302,1.0,1.0,8.0,0.36363636363636365,10.0,2.0,12.0,697327417,2305843009269512603,4.0
14516,0.0,Titan,20,0.0,0.5,304,1.0,0.0,3.0,0.07142857142857142,13.0,0.615384615385,5.0,697327417,2305843009260661793,1.0
14517,0.0,Warlock,20,0.0,1.08333333333,305,0.0,0.0,8.0,0.07692307692307693,12.0,1.41666666667,9.0,697327417,2305843009260725753,1.0
14518,0.0,Hunter,20,0.0,1.03571428571,305,0.0,1.0,1.0,0.06666666666666667,14.0,1.07142857143,14.0,697327417,2305843009261716967,1.0
14519,0.0,Titan,20,0.0,0.90625,275,0.0,1.0,5.0,0.058823529411764705,16.0,1.0625,12.0,697327417,2305843009291365963,1.0
14520,0.0,Titan,20,0.0,1.3,304,1.0,1.0,6.0,0.36363636363636365,10.0,1.6,10.0,697148281,2305843009260661793,4.0
14521,0.0,Warlock,20,0.0,5.16666666667,305,0.0,1.0,5.0,1.0,3.0,6.0,13.0,697148281,2305843009260725753,4.0
14522,0.0,Hunter,20,0.0,2.2,305,0.0,0.0,4.0,0.6666666666666666,5.0,2.6,9.0,697148281,2305843009261716967,4.0
14523,0.0,Titan,20,0.0,3.8,275,3.0,0.0,6.0,0.6666666666666666,5.0,4.4,16.0,697148281,2305843009291365963,4.0
14524,0.0,Hunter,20,0.0,0.5,290,0.0,0.0,2.0,0.0,14.0,0.571428571429,6.0,697148281,2305843009264046923,0.0
14525,0.0,Hunter,20,0.0,1.18181818182,275,2.0,0.0,4.0,0.0,11.0,1.36363636364,11.0,697148281,2305843009266204831,0.0
14526,0.0,Warlock,20,0.0,0.125,272,0.0,0.0,1.0,0.0,12.0,0.166666666667,1.0,697148281,2305843009277314792,0.0
14527,0.0,Hunter,20,0.0,0.5,303,1.0,0.0,1.0,0.0,11.0,0.545454545455,5.0,697148281,2305843009283616232,0.0
14528,0.0,Titan,20,0.0,2.75,304,0.0,2.0,5.0,0.5714285714285714,6.0,3.16666666667,14.0,696980635,2305843009260661793,4.0
14529,0.0,Warlock,20,0.0,9.5,305,0.0,1.0,1.0,2.0,1.0,10.0,9.0,696980635,2305843009260725753,4.0
14530,0.0,Hunter,20,0.0,8.5,305,0.0,0.0,7.0,2.0,1.0,12.0,5.0,696980635,2305843009261716967,4.0
14531,0.0,Titan,20,0.0,5.625,275,4.0,1.0,7.0,0.8,4.0,6.5,19.0,696980635,2305843009291365963,4.0
14532,0.0,Warlock,20,0.0,0.458333333333,302,0.0,0.0,5.0,0.0,12.0,0.666666666667,3.0,696980635,2305843009260476757,0.0
14533,0.0,Titan,20,0.0,0.333333333333,303,1.0,0.0,4.0,0.0,12.0,0.5,2.0,696980635,2305843009261726559,0.0
14534,0.0,Titan,20,0.0,0.458333333333,304,1.0,0.0,3.0,0.0,12.0,0.583333333333,4.0,696980635,2305843009262676593,0.0
14535,0.0,Warlock,20,0.0,0.375,284,0.0,0.0,3.0,0.0,12.0,0.5,3.0,696980635,2305843009285717284,0.0
14536,0.0,Titan,20,0.0,1.5,304,0.0,0.0,2.0,0.5714285714285714,6.0,1.66666666667,8.0,696853437,2305843009260661793,4.0
14537,0.0,Warlock,20,0.0,2.75,305,0.0,2.0,3.0,0.5714285714285714,6.0,3.0,15.0,696853437,2305843009260725753,4.0
14538,0.0,Hunter,20,0.0,1.78571428571,305,0.0,0.0,5.0,0.5,7.0,2.14285714286,10.0,696853437,2305843009261716967,4.0
14539,0.0,Titan,20,0.0,3.33333333333,276,2.0,0.0,10.0,0.5714285714285714,6.0,4.16666666667,15.0,696853437,2305843009291365963,4.0
14540,0.0,Hunter,20,1.0,0.55,302,0.0,0.0,5.0,0.0,10.0,0.8,3.0,696853437,2305843009262277578,0.0
